PK_LOCALIDADE;customer_address_1;customer_address_2;customer_address_3;customer_address_4;address_number;region_code;region_name;city;country;state;zip_code
dbb7866bac25150c8df48cdc980eec3074baf05701e843b002101449ff468a37;12 Lexington Street;Não informado;Não informado;Não informado;10009657;3;Northeast;Lewiston;US;ME;4240
92cc04ca613cfba1a17bf2d64aad491e06c295a6eafddaf0d9e5e3fdae6a6ca4;PO Box 220;Não informado;Não informado;Não informado;10026348;2;Southern;Mebane;US;NC;27302
e1305f2504a0c7866a4b7a3fcdc0e40cbf13a1d701396c83e5eff306b32c293c;Não informado;Não informado;Não informado;Não informado;10000453;5;International;Não informado;UK;Não informado;Não informado
c698a86b6a4591aa818a7d3cb2446369464c8bf8d2163edcd63ba8a0041b7366;4760 NW 165th Street;Não informado;Não informado;Não informado;10002765;2;Southern;Hialeah;US;FL;33014
10cd1906e2a6a5ee3964ea43335c8649548568b24fc3f2cda3e325df069dabad;11811 West Silver Spring Drive;Não informado;Não informado;Não informado;10017585;4;Central;Milwaukie;US;WI;53225
ed013416b8d8582c7af72096d151c0e097ebf2b87849e183195335ac13342732;500 Highway 18 West;Não informado;Não informado;Não informado;10026532;4;Central;Garner;US;IA;50438
f9254427607f53de6a568b94f0685e50ba4ad607b2c34c9d5d0cb611659067b3;13296 County Highway 00;Não informado;Não informado;Não informado;10010974;4;Central;Chippewa Falls;US;WI;54729
2622a28e19366be43c52f554b975e851d39614ab32df9da52bafbd8972f952a1;550 Du Parc Boulevard;Não informado;Não informado;Não informado;10009652;0;Canada;Valcourt;CA;QU;J0E 2L0
e6094f81ac5bfc2df48ec451566fc9c8bb30f780002539c6b8f37cba75a32d18;4410 Highway 80 East;Não informado;Não informado;Não informado;10006862;2;Southern;Pearl;US;MS;39209
2a62af733d3ff7154fe02912872eaab039d08aa2e3818bf2017a5a0c1415225c;7640 North Telegraph;Não informado;Não informado;Não informado;10017054;4;Central;Newport;US;MI;O
7cb6c34d4836b17fa8552f0e0d6c02d7467b0eda3ea72f0ce7e4ba066ca9767f;Defense Const. Supply Center;PO Box 16791;Não informado;Não informado;10023785;4;Central;Columbus;US;OH;43216
51f471bdb74bb01a562eaf5f1eb22d0e8bf28ac7f0fddcc3de52ebee0b72cd33;Não informado;Não informado;Não informado;Não informado;10027119;5;International;Não informado;UK;Não informado;Não informado
3bed15f798034b74e0c03cdce78b695ce3544a5cf01d21b3b0cf52b76ebf048c;3601 Amarillo Boulevard East;Não informado;Não informado;Não informado;10007355;2;Southern;Amarillo;US;TX;79107
f429439a614080c784a848e0e45c0e6e687d84ed95f348d404aacf9be30847f9;7221 Highway 64;Não informado;Não informado;Não informado;10025249;2;Southern;Memphis;US;TN;38133
