PK_CLIENTES;PK_TEMPO;PK_LOCALIDADE;VALOR_DE_VENDA
0358d10e0605d569b26916fb35664915b6e3ddb155ccb3b9380afb88dbf00f06;53f2930a670cecd27ede496db5354cfb8df7183c631ed2a93c2e44b5cdbce97d;db117a4a5d3bc6b7652c4d0593beebf04a8d2124f0fdb89ee5bd710be634bfa9;1
cc1b6d48f8c86d7f8e11cef46b0a11ed169cdd72ba3e4c9abfaad079680eb481;9f667df5c9ee042d62d831f7059da8120d1ed9d1b9943b96eb03b431c16db891;57ec025bb5f0604438455126a511fba3c792a8e964673a4228a2abded8713241;15
7fc8dcc0f3825239c173da5b661ebe9469ad65bb2e8245e183a6b763503e217f;357ba4cbccb15362de6a693feaea2142d9f872f5a07804f8c04ad210dde2e99f;3bed15f798034b74e0c03cdce78b695ce3544a5cf01d21b3b0cf52b76ebf048c;5
a5edc8246f798305889638a73084bde8d8a16840331d9451fceb4d7c301790fb;0a2ef9eb05457b04495baeae81869ff19bd87f8d5d102567aa871e1755155598;5bdbd46a0b12cb51fbf83e237d78b69274ddfa5657743e589c607e20423b9a30;1
a44dccb62bfecc7ce28e22f66294019b959f12d4f80a90e50fd19b35ec8b7992;d077a8148fd8f9c8b338c4e14a053e8a26cd3d8d7b18ad7511122835c2830694;bb7b7f9c0fb68803bcfd6ab1918b3bb3f5c5acf1c9b40a01fb016b008efbc9ef;4
a44dccb62bfecc7ce28e22f66294019b959f12d4f80a90e50fd19b35ec8b7992;3e32f347c73729d1e4757d511cab372d3ae87de57b21fdda7872b6e85c8baf55;bb7b7f9c0fb68803bcfd6ab1918b3bb3f5c5acf1c9b40a01fb016b008efbc9ef;3
318b08f8134afe31a48abc070b1016f3c7cf70d12d2cdb87f9d5a1f7b4e333b0;a99847f7db2f586ca384a19d2cb70d29f1298d043e9c23e64ca5b8af43e1bf5b;4f6a8d33ee910b8b050ed26f51b6a02db2ddb4cc4399579342c718eada83026a;1
b701a802d47c8f172f36215e17498d942b5e44615e44a77ab306dfa144a680d5;1e679cf469bfcf08fd8e1931ffba75c952d5470223250a137c39efba80b89600;0fa2cc9cddf347902903c0a5b8fa6e074d7d59eb2bc444727de6d510db3aa226;1
4c9e12cde90f34c24705746c7e51e4ae9e3ead9a4ccd27f994d831d9dce9a1f5;f3052bf0eaddb8a9b8e562a8e5ecbb759bdff1e138095555a08ebced076bcaeb;cf2ef2bab7c6d0a86645e812722670aa5bd7149afb2b3048cc05731323d6fa58;2
d5f8b993b95f3d83ed471f023b4fa3f628af5f99d24e26d00d6a5beedd66ba9e;4bb51beb660173b71deed318bdcfe850e0928193fab88f60c86fd6535a0e3a76;9b9845b897598ccc72912541cd5f75645797b2f8819e61ebf340afa296681fc3;1
7b133cf6710f1f6b81da93b0d98c0376639e254b4615df18b1846b5047985239;ed9eda6555c22d6e97e63037d034b39b841de57c03e4f88b4ea58275f19a736f;41f1f95c8704db39055fef2a82c4e44ad860addbefaf6623f0d00fafb3df1fad;2
c52c1fbc01d293ff04333e01bff1f21f48eecc64ffda73af24e95b850ba64291;b9c3cacff94daf7e4aa8a25078e72da77314af65ba05a7320e2f1f2d9750741f;7cbd6ce6ffbb77612dc490619eb192bb8463c7a8f48bcbd757bd9ab4bbc59e52;6
f7955b9e17e1a7017b09c88b385d2f9e8900543bdfccf1a0972f8c0dd992b40e;022b1a1919e45c5768bf05f658b476815b9440495dc8293ba8ea097ae42363df;0ec9fdfddd753975114e788d37992c5bff9b8176697a1aecc243ae0110011d37;1
889067646f7de833e4308d1fce15d51f3de3de2a00640a87fcc18d23649c2598;43d4ce3d4c2c2126d77035e5b2ce749f0f77098cf020ef88dcd3bc3ab12e9819;244048f558507229fcdc121c3c460110bf226799bb1998b86562ec79702a1da8;1
e2b5e057e7da7cae1ad1f72e4fc433dfdcfa2b600564e00ade5f75d0ddee72d9;43d4ce3d4c2c2126d77035e5b2ce749f0f77098cf020ef88dcd3bc3ab12e9819;b7cad4c3f3287c5677baea32174b6803f0a03d832bffa17076da989226b4a962;1
d032e78a33eb44e059d8d261d2bc0c14aaf8f0c0c7cdee16c636db3438e6ec60;c0cf15d48222fdc8c2e76660e19593aaf60d9223689efbd42c934367bece3bd8;9ffd279f6fca56f6f49bc58dad6c9d6dad4c66c2f785814e5535a7f4689c00af;1
685b3928c7081a70d91ee9a035c65caadac4f33543ec00006620689a4c80252d;e79d592515f035fef9e41df7d1ea5d5c012319ef4e594083e3bb4ec1ad0c6b9d;41f1f95c8704db39055fef2a82c4e44ad860addbefaf6623f0d00fafb3df1fad;8
34e5589106d3e7ad8560fcd4ea5ac2fa57d5b58bd10fe6d6e8242755e1347f2f;120ac2ad0bcc4d28d0fddf9cd791f8bb331aac3bcd857f3b6ce12bee3b67e773;2cfcc3470a24a59be4bfdf777950f7b7d0320e7250180f090f54eebb8be57617;1
31de722035cb33d246d7d3b9a74c1c70d6a3a9ab67d8f3fd1c8e5edc197d7ee2;5a32031a1a2684c640e2caeafd95d15e04848af5aa63049a9b29d55880733d4f;15fc0ed33c212d4c818520ec95a18aa4181a446842de2c938aae44a42452a3f4;1
